epoch,lr
1,0.0001
2,0.0001
3,0.0001
4,0.0001
5,0.0001
6,0.0001
7,0.0001
8,0.0001
9,0.0001
10,0.0001
11,0.0001
12,0.0001
13,0.0001
14,0.0001
15,0.0001
16,0.0001
17,5e-05
18,5e-05
19,5e-05
20,5e-05
21,5e-05
22,5e-05
23,2.5e-05
24,2.5e-05
25,2.5e-05
26,2.5e-05
27,2.5e-05
28,2.5e-05
29,1.25e-05
30,1.25e-05
1,0.0001
2,0.0001
3,0.0001
4,0.0001
5,0.0001
6,0.0001
7,0.0001
8,0.0001
9,0.0001
10,0.0001
11,5e-05
12,5e-05
13,5e-05
14,5e-05
15,5e-05
16,5e-05
17,2.5e-05
18,2.5e-05
19,2.5e-05
20,2.5e-05
